序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
438,2025-06-19,洛阳龙门旅游集团有限公司,洛阳文化旅游投资集团有限公司,"国企,城投,发债",,,在营,叶振,0379-69827551,河南国宏融资租赁有限公司,"国企,发债",吴艳辉,0379-65557659,,,"5,769.28",CNY,4年,2025-06-19,2029-06-18,初始登记,租赁物为河南国宏融资租赁有限公司自有的设备一批，详见附件。租赁物存放地点详见附件。租赁期间，承租人不得以任何方式转让租赁物或设置权利负担。,综合,租赁和商务服务业,商务服务业,河南-洛阳-洛龙,河南-洛阳-涧西,租赁融资事件-租赁资产价值5000以上_6月
439,2025-06-19,西宁农商农产品流通有限公司,西宁城市投资管理有限公司,"国企,城投子公司",,,在营,杨明智,0971-4515555,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"15,681.84",CNY,4.16年,2025-06-19,2029-08-18,初始登记,详见附件。,商贸零售,批发和零售业,批发业,青海-西宁-城北,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
440,2025-06-19,瘦西湖(扬州)商旅产业发展集团有限公司,扬州市产业投资国有控股(集团)有限责任公司,"国企,城投子公司",,,在营,王石群,51482930276,华夏金融租赁有限公司,"国企,发债",陈传龙,0871-63159845,,,"22,370.93",CNY,7年,2025-06-19,2032-06-18,初始登记,承租人所有的位于江苏省扬州市邗江区花都汇生态公园和花鸟市场的集装箱等动产设备(具体详见附件租赁物清单)，租赁期间不得转让、抵押第三方。,综合,租赁和商务服务业,商务服务业,江苏-扬州-邗江,云南-昆明-官渡,租赁融资事件-租赁资产价值5000以上_6月
441,2025-06-19,上饶市和济水务有限公司,上饶创新发展产业投资集团有限公司,"国企,城投子公司",,,在营,王晓波,6060777,江西中盛融资租赁股份有限公司,国企,邱纪刚,0791-88330079,,,"8,069.65",CNY,10年,2025-06-19,2035-06-18,初始登记,污水处理设备、水泵自控设备、一体化纯水设备等一批,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,江西-上饶-广信,江西-南昌-红谷滩,租赁融资事件-租赁资产价值5000以上_6月
442,2025-06-19,汇智(北京)能源有限公司,中国核工业集团有限公司,央企子公司,,,在营,干奕,13801064293,农银金融租赁有限公司,"国企,发债",王以刚,021-20686888,,,"22,578.05",,17年,2025-06-19,2042-06-18,初始登记,汇智(北京)能源有限公司江苏区域250MW中的60MW户用光伏设备及附属设施。,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,北京-丰台,上海-黄浦,租赁融资事件-租赁资产价值5000以上_6月
443,2025-06-19,漳州台商投资区城发建设有限公司,漳州台商投资区资产运营集团有限公司,国企,,,在营,何伟民,0596-6767992,天津滨海新区弘信博格融资租赁有限公司,"国企,发债",高伟,0592-5670123,,,"5,443.65",,5年,2025-06-19,2030-06-18,初始登记,见附件,建筑装饰,建筑业,建筑装饰、装修和其他建筑业,福建-漳州-龙海,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
444,2025-06-19,新疆昌吉英格玛煤电投资有限责任公司,中国华电集团有限公司,央企子公司,,,在营,张少锋,0994-6835210,国网国际融资租赁有限公司,"国企,发债",李英,010-51972655,,,"60,000.00",CNY,5年,2025-06-19,2030-06-18,变更登记,详见租赁物清单,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,新疆-昌吉州-吉木萨尔,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
445,2025-06-19,广西昊昇新能源开发有限公司,中国核工业集团有限公司,央企子公司,,,在营,李文扬,18367453476,兴业金融租赁有限责任公司,"国企,发债",李小东,010-64450063,,,"39,267.64",CNY,15.08年,2025-06-19,2040-07-18,变更登记,本合同项下租赁物为承租人位于广西壮族自治区境内的109.69MW户用光伏电站整体资产，租赁物不存在任何抵押、质押、留置、查封等妨碍所有权的情况，融资租赁期间禁止转让或以其他方式处分租赁物。租赁物明细详见租赁财产附件。,综合,科学研究和技术服务业,科技推广和应用服务业,广西-南宁-青秀,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
446,2025-06-19,淮安市淮沭河自来水有限公司,淮安市城市发展投资控股集团有限公司,"国企,城投子公司",,,在营,何衡,0517-87033557,浙江香溢融资租赁有限责任公司,国企,胡秋华,57487199960,,,"5,721.30",CNY,3.5年,2025-06-09,2028-12-08,变更登记,承租人名下的臭氧发生器5台，发票号11533851、11533852、11533862、11533863、11533864、11533865、11533866、11533867，位于淮安市淮沭河自来水有限公司厂区，产权清晰，详见租赁物清单。未经出租人书面同意，承租人不得对租赁物进行销售、抵债、转让、承包、抵押、质押、用作投资、融资租赁、合作或采取其它任何侵犯或减损出租人对租赁物享有的权益的行为。,环保,电力、热力、燃气及水生产和供应业,水的生产和供应业,江苏-淮安-淮阴,浙江-宁波-海曙,租赁融资事件-租赁资产价值5000以上_6月
447,2025-06-19,无锡市好达电子股份有限公司,,民企,"高新技术企业,省级""专精特新""中小企业,省级企业技术中心",,在营,刘平,0510-85629111,芯鑫融资租赁有限责任公司,"国企,发债",孔令夷,021-61769999,,,"6,213.54",CNY,2.5年,2025-06-19,2027-12-18,初始登记,"租赁物件总计人民币62,135,426.71元，为集成电路制造相关设备。",计算机,制造业,计算机、通信和其他电子设备制造业,江苏-无锡-滨湖,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
448,2025-06-19,江苏三维交通集团有限公司,江苏三维交通集团有限公司,国企,,,在营,张涛,0515-82150112,湖州市飞英融资租赁有限公司,"国企,发债",杨柳青,15905725860,,,"17,886.99",CNY,3.25年,2025-06-19,2028-09-18,初始登记,位于射阳黄沙港远景大道风电产业园、株洲时代新材料公司、纬三路、红旗路与兴阳路交叉口、晨光路9号等地的新能源汽车充电桩及配套智能管理系统一批。详情请见附件租赁物清单、照片并咨询0572-2710051。,建筑装饰,建筑业,土木工程建筑业,江苏-盐城-射阳,浙江-湖州-吴兴,租赁融资事件-租赁资产价值5000以上_6月
449,2025-06-19,海南航空控股股份有限公司,方大国际投资集团,"民企,上市,发债",,"被执行人,债券违约,债券展期",在营,祝涛,0898-68877405,江锦二号(天津)飞机租赁有限公司,国企,刘佳澜,57187950523,,,"12,000.00",CNY,14年,2025-06-19,2039-06-18,初始登记,空客A330-900NEO客机等租赁财产，租赁财产价值为经出租人审核认定后的租赁物净值，未经出租人同意，承租人不得转让、抵押、质押或以其他方式处分租赁财产，详情见附件并可垂询华融金融租赁股份有限公司。,交通运输,交通运输、仓储和邮政业,航空运输业,海南-海口-美兰,天津-滨海,租赁融资事件-租赁资产价值5000以上_6月
450,2025-06-19,嵊州市汇通实业有限公司,嵊州市投资控股有限公司,"国企,城投子公司",,,在营,陈宇鸿,81381861,信达金融租赁股份有限公司,"国企,发债",任志强,0931-8179856,,,"15,569.97",,4.16年,2025-06-19,2029-08-18,初始登记,盘扣式脚手架，详见租赁物清单。,商贸零售,批发和零售业,批发业,浙江-绍兴-嵊州,甘肃-兰州-城关,租赁融资事件-租赁资产价值5000以上_6月
451,2025-06-19,洪泽县益民尾水湿地管理有限公司,淮安市南部城市建设投资集团有限公司,"国企,城投子公司",,,在营,孙华,0517-87283738,淮安市融盛融资租赁有限公司,国企,王长标,51787032387,,,"8,736.61",CNY,3年,2025-06-19,2028-06-18,初始登记,设备位于洪泽区金鸡路北侧，江苏先进新材料有限公司东侧。账面价值87366066.95元。详见租赁物清单。,环保,水利、环境和公共设施管理业,生态保护和环境治理业,江苏-淮安-洪泽,江苏-淮安-淮安,租赁融资事件-租赁资产价值5000以上_6月
452,2025-06-19,"广州市花都市场建设有限公司,广州智都投资控股集团有限公司",,,,,,,,立根融资租赁有限公司,"国企,发债",汪震东,020-28028391,,,"22,254.99",CNY,3.08年,2025-06-19,2028-07-18,初始登记,广州智都投资控股集团有限公司位于广州市花都区新华街道云山大道33号加油站内机器设备、广州市花都市场建设有限公司位于广州市花都区茶园,-,-,-,-,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
453,2025-06-19,陕西龙门钢铁有限责任公司,陕西煤业化工集团有限责任公司,国企,省级企业技术中心,终本案件,在营,冯伟,0913-5182286,陕西开源融资租赁有限责任公司,"国企,发债",车建宏,029-81165009,,,"9,178.35",CNY,2.58年,2025-06-19,2028-01-18,变更登记,烧结烟气综合治理设备,钢铁,制造业,黑色金属冶炼和压延加工业,陕西-渭南-韩城,陕西-西安-雁塔,租赁融资事件-租赁资产价值5000以上_6月
454,2025-06-19,陕西龙门钢铁有限责任公司,陕西煤业化工集团有限责任公司,国企,省级企业技术中心,终本案件,在营,冯伟,0913-5182286,陕西开源融资租赁有限责任公司,"国企,发债",车建宏,029-81165009,,,"9,330.28",CNY,2.58年,2025-06-19,2028-01-18,变更登记,烧结烟气综合治理设备,钢铁,制造业,黑色金属冶炼和压延加工业,陕西-渭南-韩城,陕西-西安-雁塔,租赁融资事件-租赁资产价值5000以上_6月
455,2025-06-19,湖南宁乡农产品加工创业园建设投资有限公司,,国企,,,在营,潘岳蕾,0731-87819255,远东国际融资租赁有限公司,"国企,发债",孔繁星,021-50490099,,,"21,069.28",CNY,1.16年,2025-06-19,2026-08-18,初始登记,详见附件。,综合,租赁和商务服务业,商务服务业,湖南-长沙-宁乡,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
456,2025-06-19,桐乡市乌镇人家科创产业发展集团有限公司,桐乡市国有资本控股集团有限公司,"国企,城投子公司,发债",,,在营,韩家峰,11111111111,华宝都鼎(上海)融资租赁有限公司,"国企,发债",管晓枫,021-38506478,,,"11,174.60",CNY,6年,2025-06-19,2031-06-18,初始登记,详见附件,综合,科学研究和技术服务业,科技推广和应用服务业,浙江-嘉兴-桐乡,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
457,2025-06-19,连云港海通快速公交有限公司,江苏新海连控股有限公司,国企,,,在营,宋汶洋,51881161059,苏州金融租赁股份有限公司,"国企,发债",马天舒,0512-69868599,,,"15,052.00",CNY,11年,2025-06-19,2036-06-18,初始登记,150辆新能源公交车，详见附件,交通运输,交通运输、仓储和邮政业,道路运输业,江苏-连云港-海州,江苏-苏州-吴中,租赁融资事件-租赁资产价值5000以上_6月
458,2025-06-19,"南通庞源机械工程有限公司,上海庞源机械租赁有限公司",,,,,,,,长江联合金融租赁有限公司,国企,邱鹤良,021-20576000,,,"10,564.17",CNY,3.08年,2025-06-19,2028-07-18,初始登记,本项目标的物为承租人南通庞源机械工程有限公司名下的部分资产(详见,-,-,-,-,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
459,2025-06-19,淮安市洪泽区润湖热力发展有限公司,江苏洪泽湖投资控股集团有限公司,国企,,,在营,方兵,0517-87218819,徽银金融租赁有限公司,"国企,发债",陈毓,0551-62979200,,,"11,915.64",CNY,4.66年,2025-06-19,2030-02-18,变更登记,供热设备，详见清单,公用事业,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,江苏-淮安-洪泽,安徽-合肥-蜀山,租赁融资事件-租赁资产价值5000以上_6月
460,2025-06-19,扬州市科胜新能源有限公司,高邮市财政综合服务中心(高邮市国有资产管理中心),国企,,,在营,王亮,13511737058,苏银金融租赁股份有限公司,"国企,发债",姜洪飞,025-58587700,"8,144.42",CNY,"7,039.71",CNY,8年,2025-06-19,2033-06-18,初始登记,"34项租赁物为变压器,厂区监控等，合计数量335，租金总额为81444180.00元。",综合,科学研究和技术服务业,科技推广和应用服务业,江苏-扬州-高邮,江苏-南京-玄武,租赁融资事件-租赁资产价值5000以上_6月
461,2025-06-19,乌镇实业(桐乡)有限公司,桐乡市国有资本控股集团有限公司,"国企,城投,发债",,,在营,曹银月,,西安城投国际融资租赁有限公司,"国企,发债",胡长虹,86477596,,,"11,024.34",CNY,2.5年,2025-06-19,2027-12-18,初始登记,租赁物系承租人所有的位于桐乡市乌镇镇互联网特色小镇区块片区场馆内的屏幕设备、机械设备、灯光设备、音响设备等设施设备，合计租赁物价值110243359.09元。具体详见租赁物清单,商贸零售,批发和零售业,批发业,浙江-嘉兴-桐乡,陕西-西安-未央,租赁融资事件-租赁资产价值5000以上_6月
462,2025-06-19,广州涉外经济职业技术学院,,,,,在营,匡增忠,,浙江浙商融资租赁有限公司,"国企,发债",洪晓成,0571-86855934,,,"5,607.56",,3.5年,2025-06-19,2028-12-18,初始登记,详见附件租赁物清单。,,,,广东-广州-白云,浙江-杭州-萧山,租赁融资事件-租赁资产价值5000以上_6月
463,2025-06-19,江苏金湖公共交通有限公司,金湖县国控实业集团有限公司,"国企,城投子公司",,,在营,李标人,0517-86858009,上海淮金融资租赁有限公司,国企,李伟,13101908131,,,"5,260.80",CNY,3年,2025-06-19,2028-06-18,初始登记,本次租赁标的物为江苏金湖公共交通有限公司合法持有且权属清晰的直流充电桩、电动汽车交流充电桩及纯电动公交汽车，具体明细以《租赁物清单》及对应购置发票为准。承租人在租赁期间不得以任何形式擅自转让、抵押、质押或进行其他非法处分行为。,交通运输,交通运输、仓储和邮政业,道路运输业,江苏-淮安-金湖,上海-浦东,租赁融资事件-租赁资产价值5000以上_6月
464,2025-06-19,佛山市云东海投资控股集团有限公司,,,,,在营,彭声豪,0757-66890221,中交融资租赁(广州)有限公司,"国企,发债",周涛,020-89117077,,,"11,389.42",CNY,3.08年,2025-06-19,2028-07-18,初始登记,佛山市云东海投资控股集团有限公司已经将部分位于佛山市三水区碧云路北侧、纵三路西侧联信5G科技城1-2号展厅及3-8#楼内的智能化系统设备、供配电系统设备、监控系统设备等动产设备转让至我司名下，详见附件租赁物清单。,综合,租赁和商务服务业,商务服务业,广东-佛山-三水,广东-广州-南沙,租赁融资事件-租赁资产价值5000以上_6月
